t,B_L,B_M,B_N,Vn_i,Vn_e,Vn_he
2019-01-27 12:15:06.958,11.786062,-9.154279,-4.978665,-2.4524992,5.516114,
2019-01-27 12:15:07.020,11.468243,-9.084953,-5.340216,14.148681,51.1487,
2019-01-27 12:15:07.083,11.662806,-8.8785515,-5.129965,19.826418,38.91835,
2019-01-27 12:15:07.145,12.006822,-8.633299,-4.792257,15.075041,24.647232,
2019-01-27 12:15:07.208,11.908355,-8.2190075,-4.3241315,0.660592,5.6007304,
2019-01-27 12:15:07.270,11.8586445,-7.767925,-4.173346,9.681262,45.87972,
2019-01-27 12:15:07.333,11.9286785,-7.6073613,-4.4833856,22.623667,40.315365,
2019-01-27 12:15:07.395,11.932265,-7.600523,-4.5853987,27.293344,40.51468,
2019-01-27 12:15:07.458,11.926666,-7.6712275,-4.8352375,13.726245,31.251352,
2019-01-27 12:15:07.520,12.01023,-7.772578,-4.751734,6.3317513,21.082724,
2019-01-27 12:15:07.583,12.038314,-8.036888,-4.7989497,23.898546,29.625319,
2019-01-27 12:15:07.645,12.318049,-8.211546,-5.0641913,25.920467,27.874777,
2019-01-27 12:15:07.708,12.801397,-8.317163,-4.633247,1.5265716,14.276225,
2019-01-27 12:15:07.770,13.357959,-8.373122,-4.366431,-8.676297,7.2622933,
2019-01-27 12:15:07.833,13.542689,-8.149743,-4.693441,-2.837978,12.486015,
2019-01-27 12:15:07.895,13.768068,-7.9606667,-4.5904007,2.437025,19.191608,
2019-01-27 12:15:07.958,14.116154,-7.832341,-4.2891407,0.62370753,12.626854,
2019-01-27 12:15:08.020,14.122266,-7.6500134,-4.177913,-6.9236856,-6.140188,
2019-01-27 12:15:08.083,14.236354,-7.5250173,-4.1373835,-3.8027816,21.833515,
2019-01-27 12:15:08.145,14.357208,-7.469787,-4.0192094,9.977702,22.565697,
2019-01-27 12:15:08.208,14.29082,-7.3698997,-3.8304932,17.482094,22.19021,
2019-01-27 12:15:08.270,14.138339,-7.235959,-3.6381254,1.8500322,12.688165,
2019-01-27 12:15:08.333,14.025287,-7.2708697,-3.4043045,-4.1272817,11.152639,
2019-01-27 12:15:08.395,13.751703,-7.592438,-3.3727186,8.22851,29.526926,
2019-01-27 12:15:08.458,13.610721,-7.9211817,-3.537945,14.270897,28.056898,
2019-01-27 12:15:08.520,13.541231,-8.071557,-3.5879269,9.9987545,22.490189,
2019-01-27 12:15:08.583,13.423659,-8.006294,-3.622444,3.5385947,12.793669,
2019-01-27 12:15:08.645,13.430706,-8.020641,-3.5833697,11.7521305,30.644653,
2019-01-27 12:15:08.708,13.446893,-8.115672,-3.6830523,9.69249,13.774537,
2019-01-27 12:15:08.770,13.530662,-8.2249565,-3.9082074,2.2313776,6.9659367,
2019-01-27 12:15:08.833,13.6372385,-8.3766165,-4.106095,-9.022209,4.641621,
2019-01-27 12:15:08.895,13.728811,-8.578485,-4.2877984,-10.043528,-0.0031379864,
2019-01-27 12:15:08.958,14.114383,-8.90811,-4.4734,-0.17500377,4.9014373,
2019-01-27 12:15:09.020,14.411083,-9.033174,-4.704571,0.951022,13.019977,
2019-01-27 12:15:09.083,14.6198225,-8.605702,-4.846818,-8.846712,1.4458781,
2019-01-27 12:15:09.145,14.994305,-8.0829525,-4.932142,-14.61066,-11.978505,
2019-01-27 12:15:09.208,15.262857,-7.7378874,-4.8164487,-15.755964,-5.0134573,
2019-01-27 12:15:09.270,15.52682,-7.432832,-4.7129498,-21.563246,-16.358889,
2019-01-27 12:15:09.333,15.690025,-7.049125,-4.7754784,-16.937346,-14.299353,
2019-01-27 12:15:09.395,16.11716,-6.6920924,-4.878886,-32.89121,-27.77104,
2019-01-27 12:15:09.458,16.764647,-6.8913646,-5.1294456,-28.14648,2.4842904,
2019-01-27 12:15:09.520,16.690716,-7.52051,-5.534739,-30.940886,-18.820932,
2019-01-27 12:15:09.583,17.042496,-7.328611,-5.3805404,-30.819342,-20.639158,
2019-01-27 12:15:09.645,17.36713,-6.934437,-5.237797,-32.990925,-22.74494,
2019-01-27 12:15:09.708,17.639608,-7.0158815,-5.549663,-18.187517,-10.459573,
2019-01-27 12:15:09.770,17.966516,-7.1339874,-5.781098,-1.8764286,10.486342,
2019-01-27 12:15:09.833,18.364315,-7.1771927,-5.8486867,9.095074,17.895897,
2019-01-27 12:15:09.895,18.67968,-7.215239,-6.0061474,0.122913584,13.205854,
2019-01-27 12:15:09.958,18.715254,-7.2235136,-6.1608524,-5.6545057,7.373344,
2019-01-27 12:15:10.020,19.04054,-7.265158,-5.979542,7.8022113,23.096615,
2019-01-27 12:15:10.083,19.440245,-7.527786,-5.735504,25.021046,25.426033,
2019-01-27 12:15:10.145,20.040146,-8.07128,-5.5007167,27.666626,31.36773,
2019-01-27 12:15:10.208,20.140831,-8.7069845,-6.15792,12.825459,27.649633,
2019-01-27 12:15:10.270,19.365309,-9.01498,-7.136028,18.276764,23.881653,
2019-01-27 12:15:10.333,19.386127,-8.684275,-6.8096743,28.123331,34.91662,
2019-01-27 12:15:10.395,19.439627,-8.177615,-6.5616837,25.067883,32.69443,
2019-01-27 12:15:10.458,19.895905,-8.061815,-6.6350126,-3.3981311,7.965171,
2019-01-27 12:15:10.520,20.269249,-8.125492,-6.715564,-13.786083,3.814485,
2019-01-27 12:15:10.583,20.23188,-7.9789095,-6.491973,14.190115,18.284039,
2019-01-27 12:15:10.645,20.555292,-7.8222604,-6.179783,25.7519,13.212172,
2019-01-27 12:15:10.708,20.9211,-7.8689756,-6.079887,7.841573,12.003782,
2019-01-27 12:15:10.770,21.275986,-7.946683,-6.0583587,-11.819588,5.3932743,
2019-01-27 12:15:10.833,21.736094,-8.587498,-6.2631626,-10.598244,8.404251,
