,DN_km
2019-01-27 11:06:41+00:00,
2019-01-27 11:06:42+00:00,
2019-01-27 11:06:43+00:00,
2019-01-27 11:06:44+00:00,
2019-01-27 11:06:45+00:00,
2019-01-27 11:06:46+00:00,
2019-01-27 11:06:47+00:00,
2019-01-27 11:06:48+00:00,
2019-01-27 11:06:49+00:00,
2019-01-27 11:06:50+00:00,
2019-01-27 11:06:51+00:00,
2019-01-27 11:06:52+00:00,
2019-01-27 11:06:53+00:00,
2019-01-27 11:06:54+00:00,
2019-01-27 11:06:55+00:00,
2019-01-27 11:06:56+00:00,
2019-01-27 11:06:57+00:00,
2019-01-27 11:06:58+00:00,
2019-01-27 11:06:59+00:00,
2019-01-27 11:07:00+00:00,
2019-01-27 11:07:01+00:00,
2019-01-27 11:07:02+00:00,
2019-01-27 11:07:03+00:00,
2019-01-27 11:07:04+00:00,
2019-01-27 11:07:05+00:00,
2019-01-27 11:07:06+00:00,
2019-01-27 11:07:07+00:00,
2019-01-27 11:07:08+00:00,
2019-01-27 11:07:09+00:00,
2019-01-27 11:07:10+00:00,
2019-01-27 11:07:11+00:00,
2019-01-27 11:07:12+00:00,
2019-01-27 11:07:13+00:00,
2019-01-27 11:07:14+00:00,
2019-01-27 11:07:15+00:00,
2019-01-27 11:07:16+00:00,
2019-01-27 11:07:17+00:00,
2019-01-27 11:07:18+00:00,
2019-01-27 11:07:19+00:00,
2019-01-27 11:07:20+00:00,
2019-01-27 11:07:21+00:00,
2019-01-27 11:07:22+00:00,
2019-01-27 11:07:23+00:00,
2019-01-27 11:07:24+00:00,
2019-01-27 11:07:25+00:00,
2019-01-27 11:07:26+00:00,
2019-01-27 11:07:27+00:00,
2019-01-27 11:07:28+00:00,
2019-01-27 11:07:29+00:00,
2019-01-27 11:07:30+00:00,
2019-01-27 11:07:31+00:00,
2019-01-27 11:07:32+00:00,
2019-01-27 11:07:33+00:00,
2019-01-27 11:07:34+00:00,
2019-01-27 11:07:35+00:00,
2019-01-27 11:07:36+00:00,
2019-01-27 11:07:37+00:00,
2019-01-27 11:07:38+00:00,
2019-01-27 11:07:39+00:00,
2019-01-27 11:07:40+00:00,
2019-01-27 11:07:41+00:00,
2019-01-27 11:07:42+00:00,
2019-01-27 11:07:43+00:00,
2019-01-27 11:07:44+00:00,
2019-01-27 11:07:45+00:00,
2019-01-27 11:07:46+00:00,
2019-01-27 11:07:47+00:00,
2019-01-27 11:07:48+00:00,
2019-01-27 11:07:49+00:00,
2019-01-27 11:07:50+00:00,
2019-01-27 11:07:51+00:00,
2019-01-27 11:07:52+00:00,
2019-01-27 11:07:53+00:00,
2019-01-27 11:07:54+00:00,
2019-01-27 11:07:55+00:00,
2019-01-27 11:07:56+00:00,
2019-01-27 11:07:57+00:00,
2019-01-27 11:07:58+00:00,
2019-01-27 11:07:59+00:00,
2019-01-27 11:08:00+00:00,
2019-01-27 11:08:01+00:00,
2019-01-27 11:08:02+00:00,
2019-01-27 11:08:03+00:00,
2019-01-27 11:08:04+00:00,
2019-01-27 11:08:05+00:00,
2019-01-27 11:08:06+00:00,
2019-01-27 11:08:07+00:00,
2019-01-27 11:08:08+00:00,
2019-01-27 11:08:09+00:00,
2019-01-27 11:08:10+00:00,
2019-01-27 11:08:11+00:00,
2019-01-27 11:08:12+00:00,
2019-01-27 11:08:13+00:00,
2019-01-27 11:08:14+00:00,
2019-01-27 11:08:15+00:00,
2019-01-27 11:08:16+00:00,
2019-01-27 11:08:17+00:00,
2019-01-27 11:08:18+00:00,
2019-01-27 11:08:19+00:00,
2019-01-27 11:08:20+00:00,
2019-01-27 11:08:21+00:00,
2019-01-27 11:08:22+00:00,
2019-01-27 11:08:23+00:00,
2019-01-27 11:08:24+00:00,
2019-01-27 11:08:25+00:00,
2019-01-27 11:08:26+00:00,
2019-01-27 11:08:27+00:00,
2019-01-27 11:08:28+00:00,
2019-01-27 11:08:29+00:00,
2019-01-27 11:08:30+00:00,
2019-01-27 11:08:31+00:00,
2019-01-27 11:08:32+00:00,
2019-01-27 11:08:33+00:00,
2019-01-27 11:08:34+00:00,
2019-01-27 11:08:35+00:00,
2019-01-27 11:08:36+00:00,
2019-01-27 11:08:37+00:00,
2019-01-27 11:08:38+00:00,
2019-01-27 11:08:39+00:00,
2019-01-27 11:08:40+00:00,
2019-01-27 11:08:41+00:00,
2019-01-27 11:08:42+00:00,
2019-01-27 11:08:43+00:00,
2019-01-27 11:08:44+00:00,
2019-01-27 11:08:45+00:00,
2019-01-27 11:08:46+00:00,
2019-01-27 11:08:47+00:00,
2019-01-27 11:08:48+00:00,
2019-01-27 11:08:49+00:00,
2019-01-27 11:08:50+00:00,
2019-01-27 11:08:51+00:00,
2019-01-27 11:08:52+00:00,
2019-01-27 11:08:53+00:00,
2019-01-27 11:08:54+00:00,
2019-01-27 11:08:55+00:00,
2019-01-27 11:08:56+00:00,
2019-01-27 11:08:57+00:00,
2019-01-27 11:08:58+00:00,
2019-01-27 11:08:59+00:00,
2019-01-27 11:09:00+00:00,
2019-01-27 11:09:01+00:00,
2019-01-27 11:09:02+00:00,
2019-01-27 11:09:03+00:00,
2019-01-27 11:09:04+00:00,
2019-01-27 11:09:05+00:00,
2019-01-27 11:09:06+00:00,
2019-01-27 11:09:07+00:00,
2019-01-27 11:09:08+00:00,
2019-01-27 11:09:09+00:00,
2019-01-27 11:09:10+00:00,
2019-01-27 11:09:11+00:00,
2019-01-27 11:09:12+00:00,
2019-01-27 11:09:13+00:00,
2019-01-27 11:09:14+00:00,
2019-01-27 11:09:15+00:00,
2019-01-27 11:09:16+00:00,
2019-01-27 11:09:17+00:00,
2019-01-27 11:09:18+00:00,
2019-01-27 11:09:19+00:00,
2019-01-27 11:09:20+00:00,
2019-01-27 11:09:21+00:00,
2019-01-27 11:09:22+00:00,
2019-01-27 11:09:23+00:00,
2019-01-27 11:09:24+00:00,
2019-01-27 11:09:25+00:00,
2019-01-27 11:09:26+00:00,
2019-01-27 11:09:27+00:00,
2019-01-27 11:09:28+00:00,
2019-01-27 11:09:29+00:00,
2019-01-27 11:09:30+00:00,
2019-01-27 11:09:31+00:00,
2019-01-27 11:09:32+00:00,
2019-01-27 11:09:33+00:00,
2019-01-27 11:09:34+00:00,
2019-01-27 11:09:35+00:00,
2019-01-27 11:09:36+00:00,
2019-01-27 11:09:37+00:00,
2019-01-27 11:09:38+00:00,
2019-01-27 11:09:39+00:00,
2019-01-27 11:09:40+00:00,
2019-01-27 11:09:41+00:00,
2019-01-27 11:09:42+00:00,
2019-01-27 11:09:43+00:00,
2019-01-27 11:09:44+00:00,
2019-01-27 11:09:45+00:00,
2019-01-27 11:09:46+00:00,
2019-01-27 11:09:47+00:00,
2019-01-27 11:09:48+00:00,
2019-01-27 11:09:49+00:00,
2019-01-27 11:09:50+00:00,
2019-01-27 11:09:51+00:00,
2019-01-27 11:09:52+00:00,
2019-01-27 11:09:53+00:00,
2019-01-27 11:09:54+00:00,
2019-01-27 11:09:55+00:00,
2019-01-27 11:09:56+00:00,
2019-01-27 11:09:57+00:00,
2019-01-27 11:09:58+00:00,
2019-01-27 11:09:59+00:00,
2019-01-27 11:10:00+00:00,
2019-01-27 11:10:01+00:00,
2019-01-27 11:10:02+00:00,
2019-01-27 11:10:03+00:00,
2019-01-27 11:10:04+00:00,
2019-01-27 11:10:05+00:00,
2019-01-27 11:10:06+00:00,
2019-01-27 11:10:07+00:00,
2019-01-27 11:10:08+00:00,
2019-01-27 11:10:09+00:00,
2019-01-27 11:10:10+00:00,
2019-01-27 11:10:11+00:00,
2019-01-27 11:10:12+00:00,
2019-01-27 11:10:13+00:00,
2019-01-27 11:10:14+00:00,
2019-01-27 11:10:15+00:00,
2019-01-27 11:10:16+00:00,
2019-01-27 11:10:17+00:00,
2019-01-27 11:10:18+00:00,
2019-01-27 11:10:19+00:00,
2019-01-27 11:10:20+00:00,
2019-01-27 11:10:21+00:00,
2019-01-27 11:10:22+00:00,
2019-01-27 11:10:23+00:00,
2019-01-27 11:10:24+00:00,
2019-01-27 11:10:25+00:00,
2019-01-27 11:10:26+00:00,
2019-01-27 11:10:27+00:00,
2019-01-27 11:10:28+00:00,
2019-01-27 11:10:29+00:00,
2019-01-27 11:10:30+00:00,
2019-01-27 11:10:31+00:00,
